koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_steff_err1,koi_model_snr
0,0,0,100,26.4
0,0,0,114,35.7
0,0,0,181,44.0
0,0,0,73,24.3
0,0,0,106,31.5
0,0,0,114,45.5
0,0,0,114,29.3
0,0,0,78,21.5
0,0,0,73,30.0
0,0,0,104,53.1
0,0,0,115,45.1
0,0,1,158,37.3
0,0,0,132,39.9
0,0,0,75,34.0
0,0,0,78,17.6
0,0,0,117,149.9
0,1,0,69,210.9
0,0,0,77,111.3
0,1,0,115,1654.9
0,0,0,166,36.0
0,0,0,100,53.3
0,0,0,115,40.8
0,0,0,80,62.5
0,0,0,80,48.9
0,0,0,78,12.5
0,1,0,168,10.9
0,0,0,83,19.4
0,0,0,111,35.7
